Notice,Created,MinTradeSize,IsSponsored,BaseCurrencyLong,MarketName,IsActive,LogoUrl,MarketCurrencyLong,BaseCurrency,MarketCurrency
None,2017-03-05T19:30:16.853,26.52519894,None,Bitcoin,BTC-QWARK,True,https://bittrexblobstorage.blob.core.windows.net/public/5f132148-eb28-4a59-a5d9-b2eeda739f62.png,Qwark,BTC,QWARK
None,2017-03-06T21:10:15.663,2.524615,None,Bitcoin,BTC-CRW,True,https://bittrexblobstorage.blob.core.windows.net/public/e855c4a3-4974-4899-855e-9c98a16b760c.png,Crown,BTC,CRW
None,2017-03-08T22:32:26.03,2.87323296,None,Bitcoin,BTC-SWT,True,https://bittrexblobstorage.blob.core.windows.net/public/d541ffab-b637-4d36-b3a1-a46bb2e8b7f9.png,Swarm City Token,BTC,SWT
None,2017-03-15T19:30:56.167,0.0595829,None,Bitcoin,BTC-MLN,True,https://bittrexblobstorage.blob.core.windows.net/public/a9a8d95a-41c1-4350-81a0-bc931feb2469.png,Melon,BTC,MLN
None,2017-03-21T18:11:29.347,1.13633781,None,Bitcoin,BTC-ARK,True,https://bittrexblobstorage.blob.core.windows.net/public/5268be8b-0958-47e1-aa3d-03235265711c.png,Ark,BTC,ARK
None,2017-03-23T00:10:19.403,1.87610221,None,Bitcoin,BTC-DYN,True,https://bittrexblobstorage.blob.core.windows.net/public/97ec8a98-71e1-4fd3-b00e-13e3a5d4a9ad.png,Dynamic,BTC,DYN
None,2017-03-23T00:48:15.94,1.78788529,None,Bitcoin,BTC-TKS,True,https://bittrexblobstorage.blob.core.windows.net/public/9cecc1fb-0e86-4e38-adee-88283a8449aa.png,Tokes,BTC,TKS
None,2017-03-27T19:59:13.073,211.86440678,None,Bitcoin,BTC-MUSIC,True,https://bittrexblobstorage.blob.core.windows.net/public/896b307f-449f-47e8-b8e4-9271a13b63e8.png,Musicoin,BTC,MUSIC
None,2017-04-01T04:06:13.887,7.73874013,None,Bitcoin,BTC-DTB,True,https://bittrexblobstorage.blob.core.windows.net/public/d93d80fb-325f-41ee-8227-38a74fdd00e6.png,Databits,BTC,DTB
None,2017-04-04T21:20:51.083,21.13271344,None,Bitcoin,BTC-INCNT,True,https://bittrexblobstorage.blob.core.windows.net/public/239b1c5f-15cc-4d0a-ac1c-9416f89d8bf2.png,Incent,BTC,INCNT
None,2017-04-13T20:46:39.83,0.01302961,None,Bitcoin,BTC-GBYTE,True,https://bittrexblobstorage.blob.core.windows.net/public/04c0b782-8627-49b0-b30a-6ef81be8393a.png,Bytes,BTC,GBYTE
None,2017-04-17T21:35:59.26,12.99038711,None,Bitcoin,BTC-GNT,True,https://bittrex.com/Content/img/symbols/BTC.png,Golem,BTC,GNT
None,2017-04-17T22:51:08.97,24.33090024,None,Bitcoin,BTC-NXC,True,https://bittrex.com/Content/img/symbols/BTC.png,Nexium,BTC,NXC
None,2017-04-18T00:56:59.243,2.41826272,None,Bitcoin,BTC-EDG,True,https://bittrexblobstorage.blob.core.windows.net/public/9a72a22f-c987-47df-a609-987bf6ff0039.png,Edgeless,BTC,EDG
None,2017-04-18T07:37:41.3,6.5824118,None,Bitcoin,BTC-LGD,True,https://bittrexblobstorage.blob.core.windows.net/public/fd91d001-0b05-4d3f-a863-4d7845e7b3f3.png,Legends,BTC,LGD
